Location,Latitude,Longitude
Adriatic Sea,43,16
Aegean Sea,39.23,25.25
Afghanistan,33,66
African freshwater lakes,NA,NA
Alabama,32.799,-86.807
Alaska,61.385,-152.268
Alaskan coast,NA,NA
Alaskan/Canadian zone,NA,NA
Albania,41,20
Alberta,52.28333,-117.469
Aldabra,-9.41667,46.36667
Algeria,28,3
Andaman Islands,12.5,92.75
Angola,-12.5,18.5
Antarctic Ocean,39.866,-74.25003
Antarctic Region,NA,NA
Antilles,18,-70
Arabian Sea,12.21118,64.33594
Aral Sea,46.8,61.66667
Arctic Ocean,85,0
Argentina,-34,-64
Argentine/Uruguayan coast,NA,NA
Arizona,34.5003,-111.50098
Arkansas,33.981735,-91.5578
Armenia,40,45
Ascension Island,6.978,158.209
Asian USSR (CIS),NA,NA
Atlantic Ocean,10,-25
Atlantic Zone,NA,NA
Australasian Region,NA,NA
Australia,-25,135
Australian coast,NA,NA
Austria,47.33333,13.33333
Azerbaidzan,40.5,47.5
Azores,37.74058,-25.67282
Azov Sea,47.60621,-122.33207
Bahamas,25.04082,-77.37122
Bahrain,26,50.5
Bahrain + Qatar + United Arab Emirates,24,54
Balearic Islands,39.60992,3.02948
Baltic Sea,56,18
Bangladesh,24,90
Bay of Bengal,13.5392,87.6709
Bay of Biscay,44,-4
Belgium + Luxembourg,50,5.5
Belize,17.25,-88.75
Benin,9.5,2.25
Benin + Togo + Ghana,8.1,-1.2
Bering Sea,59.14028,-163.65972
Bermuda,32.33333,-64.75
Black Sea,43,35
Bolivia,-17,-65
Borneo,1,114
Botswana,-22,24
Brazil,-10,-55
Brazilian coast,NA,NA
British Columbia,53.99983,-125.0032
British Columbian coast,NA,NA
Bulgaria,43,25
Burkina Faso,13,-2
Burma [Myanmar],22,98
Burundi,-3.5,30
Byelorussia,53,25
California,35.125624,-118.021353
Cameroon Republic,NA,NA
Canada,60.10867,-113.64258
Canadian coast,NA,NA
Canary Islands,28,-15.5
Cape Province,NA,NA
Cape Verde Islands,16,-24
Caribbean Sea,17.67694,-64.84694
Caspian Sea,42,50
Cayman Islands,19.5,-80.66667
Central,-0.75,37
Central Africa,-2.02107,24.69727
Central African Republic,7,21
Central America,30.068534,-90.887319
Central American/Mexian Pacific coast,NA,NA
Central Mediterranean,NA,NA
Chad,15,19
Channel Islands,49.3466,-2.36206
Chile,-30,-71
Chilean coast,NA,NA
China,35,105
Coast of Andaman & Nicobar Isles,NA,NA
Coast of Arabia,NA,NA
Coast of Bangladesh,24,90
Coast of Burma & Thailand,22,98
Coast of East Africa,NA,NA
Coast of Indonesia & Malaysia,-5,120
Coast of Japan,35.68536,139.75309
Coast of Madagascar,-20,47
Coast of N Pacific Islands,22.26382,113.96038
Coast of N Territories,NA,NA
Coast of New Guinea,-5,140
Coast of NSW,-33,146
Coast of Pakistan,26,67
Coast of Philippines,13,122
Coast of Queensland,-20,145
Coast of Sri Lanka,7,81
Coast of Tasmania,-42,147
Coast of USA,38.165227,-81.709693
Coast of Victoria,22.28552,114.15769
Colombia,4,-72
Colombian Pacific coast,NA,NA
Colorado,39.00027,-105.50083
